Issue Key,Test Summary,Priority,ExecutionStatus,ExecutionDefects,CreationDate,OrderId,Step,Test Data,Expected Result,Step Result,Comments,Project,Version,Executed By,Executed On
FPR-157,[DELETE] - Employee education when user not found,Medium,FAIL,"FPR-148,FPR-54 | FPR-148,FPR-54",5/25/2022 17:48,1,"Open Postman collection and check  ""DELETE employee education when user not found"" .","{     ""id"": 879895656,     ""seqId"":{{seqId}} }","HTTP/1.1 404 Not Found {   ""error"": ""Employee Not Found"" }",FAIL,"Status code is 404 | AssertionError: expected response to have status code 404 but got 400 Employee Not Found | AssertionError: expected '{""error"":[""Deleting Failed""]}' to include 'Employee Not Found'",Final Project RAZVAN,Unscheduled,Razvan Olaru,5/25/2022 17:55
FPR-158,[DELETE] - Employee education when record not found,Medium,FAIL,"FPR-148,FPR-54 | FPR-148,FPR-54",5/25/2022 17:48,1,"Open Postman collection and check  ""DELETE employee education when record not found"" .","{     ""id"": 7,     ""seqId"": null }","HTTP/1.1 404 Not Found {   ""error"": ""Employee Education Record Not Found"" }",FAIL,"Status code is 404 | AssertionError: expected response to have status code 404 but got 400 Employee Education Record Not Found | AssertionError: expected '{""error"":[""Deleting Failed""]}' to include 'Employee Education Record Not Found'",Final Project RAZVAN,Unscheduled,Razvan Olaru,5/25/2022 17:54
FPR-156,[DELETE] - Employee education,Medium,PASS,,5/25/2022 17:48,1,"Open Postman collection and check  ""DELETE employee education"" .","{     ""id"": 7,     ""seqId"":{{seqId}} }","HTTP/1.1 200 OK {  ""success"":""Successfully Deleted""  }",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/25/2022 17:53
FPR-154,[POST] - ADD employee education when level education is a string,Medium,PASS,,5/25/2022 17:48,1,"Open Postman collection and check POST ""ADD employee education when level education is a string"" .","{     ""id"": 7,     ""level"":""High School Diploma"",     ""institute"": ""Lucian Blaga"",     ""startDate"": ""2007-10-03"",     ""endDate"": ""2011-07-02"",     ""specialization"": ""Math"",     ""gpa"": ""7.8"" }",HTTP/1.1 400 Bad Request,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/25/2022 17:53
FPR-151,[POST] - ADD employee education,Medium,PASS,,5/25/2022 17:48,1,"Open Postman collection and check POST ""ADD employee education"" .","{     ""id"": 7,     ""level"":3,     ""institute"": ""Lucian Blaga"",     ""startDate"": ""2007-10-03"",     ""endDate"": ""2009-07-02"",     ""specialization"": ""Economics"",     ""gpa"": ""7.8"" }","HTTP/1.1 200 OK  {  ""success"":""Successfully Saved"", ""seqId"":<current id>  }     ] }",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/25/2022 17:52
FPR-155,[POST] - ADD employee education when level education missing,Medium,PASS,,5/25/2022 17:48,1,"Open Postman collection and check POST ""ADD employee education when level education missing"" .","{     ""id"": 7,     ""level"":null,     ""institute"": ""Transilvania"",     ""startDate"": ""2011-10-02"",     ""endDate"": ""2016-06-24"",     ""specialization"": ""Engeneering"",     ""gpa"": ""8.5"" }","HTTP/1.1 400 Bad Request {     ""error"": [         ""Employee Education Level Not Found""     ] }",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/25/2022 17:52
FPR-150,[GET] - Education when no entries are registered,Medium,PASS,,5/25/2022 17:48,1,"Open Postman collection and check GET ""Education when no entries are registered"" .",,"HTTP/1.1 404 Not Found {   ""error"": ""Employee Not Found"" } }",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/25/2022 17:51
FPR-153,[POST] - ADD employee education when employee id not found,Medium,FAIL,FPR-52 | FPR-52,5/25/2022 17:48,1,"Open Postman collection and check POST ""ADD employee education when employee id not found"" .","{     ""id"": 89655,     ""level"":1,     ""institute"": ""Transilvania"",     ""startDate"": ""2011-10-02"",     ""endDate"": ""2016-06-24"",     ""specialization"": ""Engeneering"",     ""gpa"": ""8.5"" }","HTTP/1.1 404 Not Found {   ""error"": ""Employee Not Found"" }",FAIL,Status code is 404. employee id not found | AssertionError: expected response to have status code 404 but got 200,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/25/2022 17:50
FPR-152,[GET] - Education when at least one entry registered,Medium,PASS,,5/25/2022 17:48,1,"Open Postman collection and check GET ""Education when at least one entry registered"" .",,"HTTP/1.1 200 OK  	{     ""data"": [         {             ""seqId"": ""12"",             ""level"": ""Master's Degree"",             ""institute"": ""Lucian Blaga"",             ""specialization"": ""Economics"",             ""year"": null,             ""fromDate"": ""2007-10-03"",             ""toDate"": ""2009-07-02"",             ""gpa"": ""7.8""         }     ] }",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/25/2022 17:49
